issue_date,due_date,return_date,days_on_loan,overdue_status,book_id,book_title,genre,author,borrower_id,borrower_name,borrower_type,borrower_age_group,student_major,student_batch
2024-05-04,2024-05-25,2024-05-08,4.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10032,Student 32,Student,18-20,English Literature,2023
2024-11-09,2024-11-25,,,Overdue,2,1984,Science,Author B,10027,Student 27,Student,21-23,English Literature,2022
2024-02-29,2024-03-22,,,Overdue,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10044,Student 44,Student,18-20,Civil Engineering,2023
2023-11-23,2023-12-20,2023-11-27,4.0,Returned On Time,48,Wuthering Heights,Computer Science,Author V,10035,Student 35,Student,18-20,Biology,2024
2024-10-15,2024-11-09,2024-11-06,22.0,Returned On Time,8,Hamlet,Computer Science,Author H,10010,Student 10,Student,21-23,Psychology,2024
2024-09-05,2024-09-17,2024-09-17,12.0,Returned On Time,8,Hamlet,Computer Science,Author H,10027,Student 27,Student,21-23,English Literature,2022
2023-08-26,2023-09-06,2023-09-06,11.0,Returned On Time,3,To Kill a Mockingbird,Fiction,Author C,10019,Student 19,Student,24-25,Psychology,2024
2024-11-12,2024-11-23,,,Overdue,22,Data Science for Business,Science,Author V,10038,Student 38,Student,21-23,Civil Engineering,2024
2023-02-11,2023-02-28,2023-02-15,4.0,Returned On Time,15,"Thinking, Fast and Slow",History,Author O,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2023-04-12,2023-04-28,,,Overdue,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10019,Student 19,Student,24-25,Psychology,2024
2024-04-10,2024-04-25,,,Overdue,46,Treasure Island,Economics,Author T,10011,Student 11,Student,21-23,History,2022
2023-12-09,2024-01-02,2023-12-18,9.0,Returned On Time,36,The Art of War,Computer Science,Author J,10032,Student 32,Student,18-20,English Literature,2023
2024-08-30,2024-09-15,2024-09-15,16.0,Returned On Time,38,Outliers,History,Author L,10035,Student 35,Student,18-20,Biology,2024
2023-07-11,2023-07-21,2023-07-21,10.0,Returned On Time,22,Data Science for Business,Science,Author V,10009,Student 9,Student,24-25,Sociology,2023
2023-10-25,2023-11-11,2023-11-11,17.0,Returned On Time,8,Hamlet,Computer Science,Author H,10029,Student 29,Student,24-25,Economics,2024
2024-08-18,2024-09-06,2024-08-31,13.0,Returned On Time,27,Abstract Algebra,Philosophy,Author A,10041,Student 41,Student,24-25,History,2023
2024-09-20,2024-10-16,2024-10-04,14.0,Returned On Time,8,Hamlet,Computer Science,Author H,10001,Student 1,Student,18-20,Chemistry,2024
2024-07-13,2024-08-07,2024-07-21,8.0,Returned On Time,46,Treasure Island,Economics,Author T,10003,Student 3,Student,18-20,History,2023
2023-06-05,2023-06-28,2023-06-13,8.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10001,Student 1,Student,18-20,Chemistry,2024
2024-01-16,2024-02-12,,,Overdue,26,Linear Algebra Done Right,Mathematics,Author Z,10015,Student 15,Student,24-25,Computer Science,2024
2023-05-16,2023-06-01,2023-05-24,8.0,Returned On Time,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10039,Student 39,Student,18-20,Mathematics,2022
2023-08-03,2023-08-29,,,Overdue,34,Freakonomics,Computer Science,Author H,10022,Student 22,Student,24-25,Civil Engineering,2024
2024-04-17,2024-05-14,2024-05-02,15.0,Returned On Time,17,A Brief History of Time,Philosophy,Author Q,10003,Student 3,Student,18-20,History,2023
2024-12-09,2024-12-16,2024-12-16,7.0,Returned On Time,48,Wuthering Heights,Computer Science,Author V,10039,Student 39,Student,18-20,Mathematics,2022
2023-04-12,2023-04-19,2023-04-19,7.0,Returned On Time,22,Data Science for Business,Science,Author V,10038,Student 38,Student,21-23,Civil Engineering,2024
2023-01-11,2023-01-30,2023-01-16,5.0,Returned On Time,31,Microeconomics,Fiction,Author E,10040,Student 40,Student,21-23,Mathematics,2023
2024-04-10,2024-05-07,2024-04-21,11.0,Returned On Time,6,Moby Dick,Computer Science,Author F,10033,Student 33,Student,18-20,Economics,2022
2023-02-11,2023-03-10,2023-02-25,14.0,Returned On Time,37,Meditations,Fiction,Author K,10020,Student 20,Student,18-20,Psychology,2023
2024-01-14,2024-02-04,2024-01-30,16.0,Returned On Time,18,The Elements of Style,History,Author R,10010,Student 10,Student,21-23,Psychology,2024
2023-09-15,2023-10-04,2023-09-19,4.0,Returned On Time,16,The Selfish Gene,Fiction,Author P,10050,Student 50,Student,18-20,History,2024
2023-10-19,2023-11-03,,,Overdue,49,Jane Eyre,History,Author W,10019,Student 19,Student,24-25,Psychology,2024
2023-08-07,2023-08-21,2023-08-21,14.0,Returned On Time,33,Nudge,Economics,Author G,10048,Student 48,Student,21-23,Economics,2022
2023-04-23,2023-05-19,2023-05-14,21.0,Returned On Time,25,Calculus: Early Transcendentals,Science,Author Y,10021,Student 21,Student,21-23,Computer Science,2024
2024-11-18,2024-12-11,2024-12-11,23.0,Returned On Time,7,War and Peace,Computer Science,Author G,10048,Student 48,Student,21-23,Economics,2022
2023-10-02,2023-10-13,2023-10-13,11.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10003,Student 3,Student,18-20,History,2023
2024-02-13,2024-03-08,,,Overdue,35,The Structure of Scientific Revolutions,Computer Science,Author I,10004,Student 4,Student,24-25,Chemistry,2023
2023-06-09,2023-07-05,,,Overdue,44,Dracula,Mathematics,Author R,10024,Student 24,Student,21-23,Physics,2024
2023-06-10,2023-06-23,,,Overdue,28,The Federalist Papers,Computer Science,Author B,10002,Student 2,Student,21-23,Physics,2022
2024-11-21,2024-12-10,2024-11-24,3.0,Returned On Time,5,The Catcher in the Rye,Mathematics,Author E,10017,Student 17,Student,21-23,Sociology,2024
2023-03-13,2023-04-02,2023-04-02,20.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2023-01-21,2023-01-28,2023-01-27,6.0,Returned On Time,9,The Odyssey,Philosophy,Author I,10048,Student 48,Student,21-23,Economics,2022
2024-09-07,2024-09-17,2024-09-17,10.0,Returned On Time,3,To Kill a Mockingbird,Fiction,Author C,10004,Student 4,Student,24-25,Chemistry,2023
2023-03-24,2023-04-11,2023-04-06,13.0,Returned On Time,40,Brave New World,Philosophy,Author N,10027,Student 27,Student,21-23,English Literature,2022
2023-04-29,2023-05-12,2023-05-10,11.0,Returned On Time,30,The Republic,History,Author D,10020,Student 20,Student,18-20,Psychology,2023
2023-06-21,2023-07-09,2023-06-30,9.0,Returned On Time,42,The Hobbit,Science,Author P,10039,Student 39,Student,18-20,Mathematics,2022
2023-05-10,2023-05-22,2023-05-19,9.0,Returned On Time,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10010,Student 10,Student,21-23,Psychology,2024
2023-07-12,2023-08-08,2023-08-02,21.0,Returned On Time,33,Nudge,Economics,Author G,10002,Student 2,Student,21-23,Physics,2022
2024-08-21,2024-09-09,2024-09-09,19.0,Returned On Time,48,Wuthering Heights,Computer Science,Author V,10032,Student 32,Student,18-20,English Literature,2023
2024-08-20,2024-09-02,2024-08-23,3.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10037,Student 37,Student,24-25,Sociology,2022
2023-06-11,2023-07-01,2023-06-24,13.0,Returned On Time,32,Macroeconomics,Economics,Author F,10030,Student 30,Student,18-20,History,2022
2023-10-05,2023-10-16,2023-10-16,11.0,Returned On Time,40,Brave New World,Philosophy,Author N,10042,Student 42,Student,24-25,Mechanical Engineering,2022
2024-07-13,2024-08-08,,,Overdue,29,Democracy in America,Mathematics,Author C,10015,Student 15,Student,24-25,Computer Science,2024
2024-06-15,2024-07-02,2024-06-20,5.0,Returned On Time,16,The Selfish Gene,Fiction,Author P,10027,Student 27,Student,21-23,English Literature,2022
2023-10-15,2023-11-11,2023-10-22,7.0,Returned On Time,7,War and Peace,Computer Science,Author G,10027,Student 27,Student,21-23,English Literature,2022
2024-01-29,2024-02-13,,,Overdue,10,Crime and Punishment,Science,Author J,10036,Student 36,Student,24-25,Electrical Engineering,2023
2023-05-09,2023-06-03,2023-05-27,18.0,Returned On Time,36,The Art of War,Computer Science,Author J,10005,Student 5,Student,21-23,Computer Science,2023
2024-07-07,2024-07-27,2024-07-21,14.0,Returned On Time,4,Pride and Prejudice,Computer Science,Author D,10015,Student 15,Student,24-25,Computer Science,2024
2023-08-11,2023-09-07,2023-09-03,23.0,Returned On Time,3,To Kill a Mockingbird,Fiction,Author C,10038,Student 38,Student,21-23,Civil Engineering,2024
2024-06-15,2024-06-28,2024-06-20,5.0,Returned On Time,27,Abstract Algebra,Philosophy,Author A,10041,Student 41,Student,24-25,History,2023
2024-10-17,2024-11-03,2024-10-23,6.0,Returned On Time,12,Dune,Science,Author L,10045,Student 45,Student,24-25,Physics,2022
2023-11-16,2023-12-01,2023-11-30,14.0,Returned On Time,24,Deep Learning,Science,Author X,10038,Student 38,Student,21-23,Civil Engineering,2024
2023-10-05,2023-10-15,2023-10-15,10.0,Returned On Time,7,War and Peace,Computer Science,Author G,10017,Student 17,Student,21-23,Sociology,2024
2023-01-06,2023-01-24,2023-01-20,14.0,Returned On Time,28,The Federalist Papers,Computer Science,Author B,10002,Student 2,Student,21-23,Physics,2022
2023-06-30,2023-07-25,2023-07-04,4.0,Returned On Time,44,Dracula,Mathematics,Author R,10025,Student 25,Student,18-20,Computer Science,2022
2023-02-09,2023-03-03,,,Overdue,29,Democracy in America,Mathematics,Author C,10038,Student 38,Student,21-23,Civil Engineering,2024
2024-12-05,2024-12-17,2024-12-10,5.0,Returned On Time,35,The Structure of Scientific Revolutions,Computer Science,Author I,10024,Student 24,Student,21-23,Physics,2024
2023-07-25,2023-08-13,,,Overdue,43,Frankenstein,Computer Science,Author Q,10040,Student 40,Student,21-23,Mathematics,2023
2024-02-24,2024-03-07,2024-03-02,7.0,Returned On Time,43,Frankenstein,Computer Science,Author Q,10042,Student 42,Student,24-25,Mechanical Engineering,2022
2023-07-29,2023-08-20,2023-08-14,16.0,Returned On Time,3,To Kill a Mockingbird,Fiction,Author C,10026,Student 26,Student,24-25,Electrical Engineering,2024
2024-03-14,2024-03-31,2024-03-17,3.0,Returned On Time,40,Brave New World,Philosophy,Author N,10005,Student 5,Student,21-23,Computer Science,2023
2024-03-31,2024-04-11,2024-04-11,11.0,Returned On Time,40,Brave New World,Philosophy,Author N,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2024-01-19,2024-02-09,2024-02-09,21.0,Returned On Time,12,Dune,Science,Author L,10022,Student 22,Student,24-25,Civil Engineering,2024
2023-09-03,2023-09-12,2023-09-12,9.0,Returned On Time,31,Microeconomics,Fiction,Author E,10001,Student 1,Student,18-20,Chemistry,2024
2024-11-26,2024-12-06,2024-12-06,10.0,Returned On Time,29,Democracy in America,Mathematics,Author C,10025,Student 25,Student,18-20,Computer Science,2022
2023-01-26,2023-02-07,2023-01-31,5.0,Returned On Time,10,Crime and Punishment,Science,Author J,10032,Student 32,Student,18-20,English Literature,2023
2023-04-15,2023-05-10,2023-04-28,13.0,Returned On Time,9,The Odyssey,Philosophy,Author I,10041,Student 41,Student,24-25,History,2023
2023-06-30,2023-07-27,2023-07-07,7.0,Returned On Time,29,Democracy in America,Mathematics,Author C,10037,Student 37,Student,24-25,Sociology,2022
2024-08-24,2024-09-09,2024-09-09,16.0,Returned On Time,31,Microeconomics,Fiction,Author E,10003,Student 3,Student,18-20,History,2023
2024-06-06,2024-06-18,2024-06-10,4.0,Returned On Time,24,Deep Learning,Science,Author X,10006,Student 6,Student,21-23,History,2022
2024-08-15,2024-09-05,2024-08-27,12.0,Returned On Time,8,Hamlet,Computer Science,Author H,10010,Student 10,Student,21-23,Psychology,2024
2024-09-08,2024-10-05,2024-09-30,22.0,Returned On Time,17,A Brief History of Time,Philosophy,Author Q,10020,Student 20,Student,18-20,Psychology,2023
2024-11-27,2024-12-18,2024-12-03,6.0,Returned On Time,21,Introduction to Algorithms,Philosophy,Author U,10028,Student 28,Student,18-20,Mathematics,2024
2024-09-28,2024-10-13,2024-10-02,4.0,Returned On Time,14,Cosmos,Mathematics,Author N,10021,Student 21,Student,21-23,Computer Science,2024
2023-12-26,2024-01-02,2024-01-02,7.0,Returned On Time,49,Jane Eyre,History,Author W,10024,Student 24,Student,21-23,Physics,2024
2024-02-25,2024-03-10,2024-03-06,10.0,Returned On Time,23,Machine Learning Yearning,Science,Author W,10018,Student 18,Student,21-23,Physics,2024
2023-09-23,2023-10-15,2023-09-29,6.0,Returned On Time,36,The Art of War,Computer Science,Author J,10038,Student 38,Student,21-23,Civil Engineering,2024
2024-11-20,2024-12-16,2024-11-26,6.0,Returned On Time,21,Introduction to Algorithms,Philosophy,Author U,10008,Student 8,Student,21-23,Mechanical Engineering,2022
2024-09-18,2024-10-05,2024-10-02,14.0,Returned On Time,8,Hamlet,Computer Science,Author H,10019,Student 19,Student,24-25,Psychology,2024
2024-03-30,2024-04-20,2024-04-18,19.0,Returned On Time,42,The Hobbit,Science,Author P,10040,Student 40,Student,21-23,Mathematics,2023
2024-04-22,2024-04-29,2024-04-29,7.0,Returned On Time,41,Fahrenheit 451,Philosophy,Author O,10037,Student 37,Student,24-25,Sociology,2022
2024-08-08,2024-08-25,2024-08-19,11.0,Returned On Time,5,The Catcher in the Rye,Mathematics,Author E,10023,Student 23,Student,24-25,Mechanical Engineering,2022
2024-11-03,2024-11-30,2024-11-23,20.0,Returned On Time,47,Sense and Sensibility,Economics,Author U,10033,Student 33,Student,18-20,Economics,2022
2023-05-10,2023-06-04,2023-05-23,13.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10046,Student 46,Student,18-20,English Literature,2024
2023-09-20,2023-10-05,2023-09-28,8.0,Returned On Time,29,Democracy in America,Mathematics,Author C,10008,Student 8,Student,21-23,Mechanical Engineering,2022
2024-06-13,2024-06-20,2024-06-20,7.0,Returned On Time,26,Linear Algebra Done Right,Mathematics,Author Z,10033,Student 33,Student,18-20,Economics,2022
2024-09-27,2024-10-20,2024-10-08,11.0,Returned On Time,25,Calculus: Early Transcendentals,Science,Author Y,10032,Student 32,Student,18-20,English Literature,2023
2024-03-27,2024-04-05,2024-03-31,4.0,Returned On Time,3,To Kill a Mockingbird,Fiction,Author C,10004,Student 4,Student,24-25,Chemistry,2023
2023-03-31,2023-04-26,2023-04-17,17.0,Returned On Time,9,The Odyssey,Philosophy,Author I,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2023-06-01,2023-06-21,2023-06-20,19.0,Returned On Time,10,Crime and Punishment,Science,Author J,10043,Student 43,Student,24-25,Biology,2024
2024-03-03,2024-03-24,,,Overdue,17,A Brief History of Time,Philosophy,Author Q,10037,Student 37,Student,24-25,Sociology,2022
2023-07-20,2023-08-09,,,Overdue,1,The Great Gatsby,Fiction,Author A,10011,Student 11,Student,21-23,History,2022
2023-01-26,2023-02-14,2023-02-14,19.0,Returned On Time,24,Deep Learning,Science,Author X,10049,Student 49,Student,24-25,Sociology,2022
2023-04-28,2023-05-12,2023-05-12,14.0,Returned On Time,32,Macroeconomics,Economics,Author F,10042,Student 42,Student,24-25,Mechanical Engineering,2022
2023-06-01,2023-06-09,2023-06-07,6.0,Returned On Time,17,A Brief History of Time,Philosophy,Author Q,10049,Student 49,Student,24-25,Sociology,2022
2024-03-01,2024-03-08,2024-03-07,6.0,Returned On Time,16,The Selfish Gene,Fiction,Author P,10017,Student 17,Student,21-23,Sociology,2024
2024-10-31,2024-11-27,2024-11-18,18.0,Returned On Time,44,Dracula,Mathematics,Author R,10004,Student 4,Student,24-25,Chemistry,2023
2023-01-24,2023-02-13,2023-02-08,15.0,Returned On Time,44,Dracula,Mathematics,Author R,10033,Student 33,Student,18-20,Economics,2022
2024-03-16,2024-04-12,2024-03-31,15.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10047,Student 47,Student,21-23,Mechanical Engineering,2023
2024-09-01,2024-09-16,2024-09-16,15.0,Returned On Time,27,Abstract Algebra,Philosophy,Author A,10031,Student 31,Student,24-25,Mechanical Engineering,2024
2023-07-23,2023-08-02,2023-07-26,3.0,Returned On Time,39,The Tipping Point,History,Author M,10013,Student 13,Student,18-20,Physics,2022
2023-11-06,2023-12-03,2023-11-25,19.0,Returned On Time,10,Crime and Punishment,Science,Author J,10034,Student 34,Student,21-23,Physics,2024
2024-06-17,2024-07-02,2024-06-21,4.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10026,Student 26,Student,24-25,Electrical Engineering,2024
2023-04-18,2023-05-12,2023-05-10,22.0,Returned On Time,36,The Art of War,Computer Science,Author J,10038,Student 38,Student,21-23,Civil Engineering,2024
2023-06-07,2023-07-01,,,Overdue,40,Brave New World,Philosophy,Author N,10026,Student 26,Student,24-25,Electrical Engineering,2024
2023-06-18,2023-07-10,2023-06-23,5.0,Returned On Time,7,War and Peace,Computer Science,Author G,10024,Student 24,Student,21-23,Physics,2024
2023-11-18,2023-12-06,2023-12-06,18.0,Returned On Time,43,Frankenstein,Computer Science,Author Q,10036,Student 36,Student,24-25,Electrical Engineering,2023
2024-01-10,2024-02-01,,,Overdue,23,Machine Learning Yearning,Science,Author W,10022,Student 22,Student,24-25,Civil Engineering,2024
2024-04-30,2024-05-11,2024-05-03,3.0,Returned On Time,13,Sapiens: A Brief History of Humankind,Mathematics,Author M,10034,Student 34,Student,21-23,Physics,2024
2024-10-26,2024-11-02,2024-11-02,7.0,Returned On Time,9,The Odyssey,Philosophy,Author I,10019,Student 19,Student,24-25,Psychology,2024
2023-02-16,2023-03-06,2023-03-06,18.0,Returned On Time,21,Introduction to Algorithms,Philosophy,Author U,10031,Student 31,Student,24-25,Mechanical Engineering,2024
2023-04-08,2023-05-05,,,Overdue,20,The Pragmatic Programmer,Economics,Author T,10006,Student 6,Student,21-23,History,2022
2024-05-20,2024-05-29,2024-05-27,7.0,Returned On Time,2,1984,Science,Author B,10032,Student 32,Student,18-20,English Literature,2023
2024-04-27,2024-05-04,2024-04-30,3.0,Returned On Time,37,Meditations,Fiction,Author K,10021,Student 21,Student,21-23,Computer Science,2024
2023-02-01,2023-02-20,2023-02-15,14.0,Returned On Time,19,Clean Code,Science,Author S,10018,Student 18,Student,21-23,Physics,2024
2023-06-06,2023-06-20,2023-06-20,14.0,Returned On Time,47,Sense and Sensibility,Economics,Author U,10020,Student 20,Student,18-20,Psychology,2023
2024-03-12,2024-03-24,2024-03-24,12.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10018,Student 18,Student,21-23,Physics,2024
2023-02-19,2023-03-14,2023-03-08,17.0,Returned On Time,15,"Thinking, Fast and Slow",History,Author O,10006,Student 6,Student,21-23,History,2022
2024-04-23,2024-05-19,2024-05-02,9.0,Returned On Time,10,Crime and Punishment,Science,Author J,10032,Student 32,Student,18-20,English Literature,2023
2024-06-28,2024-07-21,2024-07-11,13.0,Returned On Time,30,The Republic,History,Author D,10006,Student 6,Student,21-23,History,2022
2023-05-01,2023-05-18,2023-05-18,17.0,Returned On Time,6,Moby Dick,Computer Science,Author F,10029,Student 29,Student,24-25,Economics,2024
2024-05-24,2024-06-08,2024-06-08,15.0,Returned On Time,49,Jane Eyre,History,Author W,10037,Student 37,Student,24-25,Sociology,2022
2023-05-26,2023-06-20,2023-06-07,12.0,Returned On Time,4,Pride and Prejudice,Computer Science,Author D,10016,Student 16,Student,24-25,Mechanical Engineering,2024
2024-11-19,2024-12-05,2024-12-05,16.0,Returned On Time,1,The Great Gatsby,Fiction,Author A,10022,Student 22,Student,24-25,Civil Engineering,2024
2024-06-17,2024-07-12,,,Overdue,4,Pride and Prejudice,Computer Science,Author D,10030,Student 30,Student,18-20,History,2022
2024-03-20,2024-04-07,2024-04-01,12.0,Returned On Time,46,Treasure Island,Economics,Author T,10036,Student 36,Student,24-25,Electrical Engineering,2023
2024-04-29,2024-05-10,2024-05-10,11.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10023,Student 23,Student,24-25,Mechanical Engineering,2022
2024-10-21,2024-11-12,2024-11-11,21.0,Returned On Time,11,The Lord of the Rings,Mathematics,Author K,10040,Student 40,Student,21-23,Mathematics,2023
2024-04-30,2024-05-22,2024-05-08,8.0,Returned On Time,31,Microeconomics,Fiction,Author E,10030,Student 30,Student,18-20,History,2022
2024-03-27,2024-04-20,2024-04-01,5.0,Returned On Time,30,The Republic,History,Author D,10048,Student 48,Student,21-23,Economics,2022
2024-12-21,2024-12-30,,,Overdue,23,Machine Learning Yearning,Science,Author W,10011,Student 11,Student,21-23,History,2022
2024-06-15,2024-07-12,2024-06-24,9.0,Returned On Time,25,Calculus: Early Transcendentals,Science,Author Y,10021,Student 21,Student,21-23,Computer Science,2024
2024-07-14,2024-07-25,2024-07-25,11.0,Returned On Time,19,Clean Code,Science,Author S,10050,Student 50,Student,18-20,History,2024
2023-05-11,2023-06-07,2023-05-17,6.0,Returned On Time,38,Outliers,History,Author L,10048,Student 48,Student,21-23,Economics,2022
2024-12-24,2025-01-08,2025-01-08,15.0,Returned On Time,23,Machine Learning Yearning,Science,Author W,10014,Student 14,Student,18-20,Chemistry,2022
2023-10-01,2023-10-15,2023-10-07,6.0,Returned On Time,21,Introduction to Algorithms,Philosophy,Author U,10009,Student 9,Student,24-25,Sociology,2023
2023-07-27,2023-08-04,2023-08-04,8.0,Returned On Time,36,The Art of War,Computer Science,Author J,10029,Student 29,Student,24-25,Economics,2024
2024-03-17,2024-04-09,2024-04-05,19.0,Returned On Time,18,The Elements of Style,History,Author R,10010,Student 10,Student,21-23,Psychology,2024
2024-10-31,2024-11-25,2024-11-04,4.0,Returned On Time,31,Microeconomics,Fiction,Author E,10007,Student 7,Student,21-23,Civil Engineering,2024
2024-09-02,2024-09-11,2024-09-11,9.0,Returned On Time,39,The Tipping Point,History,Author M,10018,Student 18,Student,21-23,Physics,2024
2024-09-25,2024-10-06,,,Overdue,9,The Odyssey,Philosophy,Author I,10034,Student 34,Student,21-23,Physics,2024
2024-11-14,2024-11-26,,,Overdue,3,To Kill a Mockingbird,Fiction,Author C,10002,Student 2,Student,21-23,Physics,2022
2023-04-19,2023-05-10,2023-05-06,17.0,Returned On Time,38,Outliers,History,Author L,10007,Student 7,Student,21-23,Civil Engineering,2024
2024-03-25,2024-04-06,2024-04-06,12.0,Returned On Time,25,Calculus: Early Transcendentals,Science,Author Y,10030,Student 30,Student,18-20,History,2022
2023-07-03,2023-07-27,2023-07-09,6.0,Returned On Time,49,Jane Eyre,History,Author W,10041,Student 41,Student,24-25,History,2023
2024-06-05,2024-06-28,2024-06-17,12.0,Returned On Time,39,The Tipping Point,History,Author M,10036,Student 36,Student,24-25,Electrical Engineering,2023
2024-04-06,2024-04-15,2024-04-13,7.0,Returned On Time,21,Introduction to Algorithms,Philosophy,Author U,10040,Student 40,Student,21-23,Mathematics,2023
2023-06-05,2023-06-16,2023-06-09,4.0,Returned On Time,41,Fahrenheit 451,Philosophy,Author O,10033,Student 33,Student,18-20,Economics,2022
2024-01-23,2024-02-07,2024-02-07,15.0,Returned On Time,23,Machine Learning Yearning,Science,Author W,10019,Student 19,Student,24-25,Psychology,2024
2024-04-18,2024-05-06,2024-04-30,12.0,Returned On Time,49,Jane Eyre,History,Author W,10040,Student 40,Student,21-23,Mathematics,2023
2024-12-16,2025-01-10,2024-12-29,13.0,Returned On Time,22,Data Science for Business,Science,Author V,10031,Student 31,Student,24-25,Mechanical Engineering,2024
2024-01-18,2024-01-29,,,Overdue,32,Macroeconomics,Economics,Author F,10049,Student 49,Student,24-25,Sociology,2022
2023-03-08,2023-03-24,,,Overdue,10,Crime and Punishment,Science,Author J,10008,Student 8,Student,21-23,Mechanical Engineering,2022
2024-03-23,2024-03-31,2024-03-31,8.0,Returned On Time,45,Alice's Adventures in Wonderland,Computer Science,Author S,10027,Student 27,Student,21-23,English Literature,2022
2024-02-14,2024-02-23,2024-02-23,9.0,Returned On Time,42,The Hobbit,Science,Author P,10020,Student 20,Student,18-20,Psychology,2023
2024-10-13,2024-11-07,2024-10-25,12.0,Returned On Time,22,Data Science for Business,Science,Author V,10026,Student 26,Student,24-25,Electrical Engineering,2024
2024-01-11,2024-01-25,2024-01-19,8.0,Returned On Time,46,Treasure Island,Economics,Author T,10013,Student 13,Student,18-20,Physics,2022
2024-11-01,2024-11-16,2024-11-13,12.0,Returned On Time,23,Machine Learning Yearning,Science,Author W,10021,Student 21,Student,21-23,Computer Science,2024
2024-10-26,2024-11-03,2024-10-30,4.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10019,Student 19,Student,24-25,Psychology,2024
2024-11-25,2024-12-21,2024-12-10,15.0,Returned On Time,29,Democracy in America,Mathematics,Author C,10022,Student 22,Student,24-25,Civil Engineering,2024
2024-02-25,2024-03-04,2024-03-04,8.0,Returned On Time,16,The Selfish Gene,Fiction,Author P,10039,Student 39,Student,18-20,Mathematics,2022
2024-04-21,2024-05-11,2024-04-26,5.0,Returned On Time,1,The Great Gatsby,Fiction,Author A,10015,Student 15,Student,24-25,Computer Science,2024
2023-04-17,2023-05-09,2023-05-08,21.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10039,Student 39,Student,18-20,Mathematics,2022
2023-04-14,2023-04-28,2023-04-28,14.0,Returned On Time,49,Jane Eyre,History,Author W,10029,Student 29,Student,24-25,Economics,2024
2023-12-19,2024-01-03,2024-01-03,15.0,Returned On Time,39,The Tipping Point,History,Author M,10043,Student 43,Student,24-25,Biology,2024
2023-07-15,2023-08-02,2023-08-02,18.0,Returned On Time,27,Abstract Algebra,Philosophy,Author A,10024,Student 24,Student,21-23,Physics,2024
2023-03-14,2023-04-07,2023-03-23,9.0,Returned On Time,7,War and Peace,Computer Science,Author G,10004,Student 4,Student,24-25,Chemistry,2023
